Here are the ratings for sensations inside the body:

tummy: 4
fat: N
skinny: N
happy: N
sad: N
mad: N
glad: N
bad: N
good: N
right: N
wrong: N
clean: N
dirty: N
wet: N
dry: N
hot: N
cold: N
full: N
empty: N
all: N
none: N
some: N
any: N
each: N
other: N
another: N
same: N
different: N
mine: N
my: N
your: N
his: N
her: N
its: N
our: N
their: N
they: N
them: N
me: N
I: N
you: N
he: N
she: N
it: N
we: N
they: N
be: N
have: N
do: N
say: N
make: N
go: N
get: N
give: N
take: N
know: N
think: N
want: N
look: N
see: N
hear: N
try: N
use: N
find: N
tell: N
ask: N
need: N
feel: N
touch: N
taste: N
smell: N
push: N
pull: N
kick: N
run: N
jump: N
play: N
work: N
read: N
write: N
draw: N
paint: N
cut: N
open: N
close: N
pick: N
choose: N
like: N
love: N
hate: N
big: N
little: N
long: N
short: N
fat: N
skinny: N
happy: N
sad: N
mad: N
glad: N
bad: N
good: N
right: N
wrong: N
clean: N
dirty: N
wet: N
dry: N
hot: N
cold: N
full: N
empty: N
all: N
none: N
some: N
any: N
each: N
other: N
another: N
same: N
different: N
mine: N
my: N
your: N
his: N
her: N
its: N
our: N
their: N
they: N
them: N
me: N
I: N
you: N
he: N
she: N
it: N
we: N
they: N
be: N
have: N
do: N
say: N
make: N
go: N
get: N
give: N
take: N
know: N
think: N
want: N
look: N
see: N
hear: N
try: N
use: N
find: N
tell: N
ask: N
need: N
feel: N
touch: N
taste: N
smell: N
push: N
pull: N
kick: N
run: N
jump: N
play: N
work: N
read: N
write: N
draw: N
paint: N
cut: N
open: N
close: N
pick: N
choose: N
like: N
love: N
hate: N
big: N
little: N
long: N
short: N
fat: N
skinny: N
happy: N
sad: N
mad: N
glad: N
bad: N
good: N
right: N
wrong: N
clean: N
dirty: N
wet: N
dry: N
hot: N
cold: N
full: N
empty: N
all: N
none: N
some: N
any: N
each: N
other: N
another: N
same: N
different: N
mine: N
my: N
your: N
his: N
her: N
its: N
our: N
their: N
they: N
them: N
me: N
I: N
you: N
he: N
she: N
it: N
we: N
they: N
be: N
have: N
do: N
say: N
make: N
go: N
get: N
give: N
take: N
know: N
think: N
want: N
look: N
see: N
hear: N
try: N
use: N
find: N
tell: N
ask: N
need: N
feel: N
touch: N
taste: N
smell: N
push: N
pull: N
kick: N
run: N
jump: N
play: N
work: N
read: N
write: N
draw: N
paint: N
cut: N
open: N
close: N
pick: N
choose: N
like: N
love: N
hate: N
big: N
little: N
long: N
short: N
fat: N
skinny: N
happy: N
sad: N
mad: N
glad: N
bad: N
good: N
right: N
wrong: N
clean: N
dirty: N
wet: N
dry: N
hot: N
cold: N
full: N
empty: N
all: N
none: N
some: N
any: N
each: N
other: N
another: N
same: N
different: N
mine: N
my: N
your: N
his: N
her: N
its: N
our: N
their: N
they: N
them: N
me: N
I: N
you: N
he: N
she: N
it: N
we: N
they: N
be: N
have: N
do: N
say: N
make: N
go: N
get: N
give: N
take: N
know: N
think: N
want: N
look: N
see: N
hear: N
try: N
use: N
find: N
tell: N
ask: N
need: N
feel: N
touch: N
taste: N
smell: N
push: N
pull: N
kick: N
run: N
jump: N
play: N
work: N
read: N
write: N
draw: N
paint: N
cut: N
open: N
close: N
pick: N
choose: N
like: N
love: N
hate: N
big: N
little: N
long: N
short: N
fat: N
skinny: N
happy: N
sad: N
mad: N
glad: N
bad: N
good: N
right: N
wrong: N
clean: N
dirty: N
wet: N
dry: N
hot: N
cold: N
full: N
empty: N
all: N
none: N
some: N
any: N
each: N
other: N
another: N
same: N
different: N
mine: N
my: N
your: N
his: N
her: N
its: N
our: N
their: N
they: N
them: N
me: N
I: N
you: N
he: N
she: N
it: N
we: N
they: N
be: N
have: N
do: N
say: N
make: N
go: N
get: N
give: N
take: N
know: N
think: N
want: N
look: N
see: N
hear: N
try: N
use: N
find: N
tell: N
ask: N
need: N
feel: N
touch: N
taste: N
smell: N
push: N
pull: N
kick: N
run: N
jump: N
play: N
work: N
read: N
write: N
draw: N
paint: N
cut: N
open: N
close: N
pick: N
choose: N
like: N
love: N
hate: N
big: N
little: N
long: N
short: N
fat: N
skinny: N
happy: N
sad: N
mad: N
glad: N
bad: N
good: N
right: N
wrong: N
clean: N
dirty: N
wet: N
dry: N
hot: N
cold: N
full: N
empty: N
all: N
none: N
some: N
any: N
each: N
other: N
another: N
same: N
different: N
mine: N
my: N
your: N
his: N
her: N
its: N
our: N
their: N
they: N
them: N
me: N
I: N
you: N
he: N
she: N
it: N
we: N
they: N
be: N
have: N
do: N
say: N
make: N
go: N
get: N
give: N
take: N
know: N
think: N
want: N
look: N
see: N
hear: N
try: N
use: N
find: N
tell: N
ask: N
need: N
feel: N
touch: N
taste: N
smell: N
push: N
pull: N
kick: N
run: N
jump: N
play: N
work: N
read: N
write: N
draw: N
paint: N
cut: N
open: N
close: N
pick: N
choose: N
like: N
love: N
hate: N
big: N
little: N
long: N
short: N
fat: N
skinny: N
happy: N
sad: N
mad: N
glad: N
bad: N
good: N
right: N
wrong: N
clean: N
dirty: N
wet: N
dry: N
hot: N
cold: N
full: N
empty: N
all: N
none: N
some: N
any: N
each: N
other: N
another: N
same: N
different: N
mine: N
my: N
your: N
his: N
her: N
its: N
our: N
their: N
they: N
them: N
me: N
I: N
you: N
he: N
she: N
it: N
we: N
they: N
be: N
have: N
do: N
say: N
make: N
go: N
get: N
give: N
take: N
know: N
think: N
want: N
look: N
see: N
hear: N
try: N
use: N
find: N
tell: N
ask: N
need: N
feel: N
touch: N
taste: N
smell: N
push: N
pull: N
kick: N
run: N
jump: N
play: N
work: N
read: N
write: N
draw: N
paint: N
cut: N
open: N
close: N
pick: N
choose: N
like: N
love: N
hate: N
big: N
little: N
long: N
short: N
fat: N
skinny: N
happy: N
sad: N
mad: N
glad: N
bad: N
good: N
right: N
wrong: N
clean: N
dirty: N
wet: N
dry: N
hot: N
cold: N
full: N
empty: N
all: N
none: N
some: N
any: N
each: N
other: N
another: N
same: N
different: N
mine: N
my: N
your: N
his: N
her: N
its: N
our: N
their: N
they: N
them: N
me: N
I: N
you: N
he: N
she: N
it: N
we: N
they: N
be: N
have: N
do: N
say: N
make: N
go: N
get: N
give: N
take: N
know: N
think: N
want: N
look: N
see: N
hear: N
try: N
use: N
find: N
tell: N
ask: N
need: N
feel: N
touch: N
taste: N
smell: N
push: N
pull: N
kick: N
run: N
jump: N
play: N
work: N
read: N
write: N
draw: N
paint: N
cut: N
open: N
close: N
pick: N
choose: N
like: N
love: N
hate: N
big: N
little: N
long: N
short: N
fat: N
skinny: N
happy: N
sad: N
mad: N
glad: N
bad: N
good: N
right: N
wrong: N
clean: N
dirty: N
wet: N
dry: N
hot: N
cold: N
full: N
empty: N
all: N
none: N
some: N
any: N
each: N
other: N
another: N
same: N
different: N
mine: N
my: N
your: N
his: N
her: N
its
